"""Time (s)"",""Latitude (°)"",""Longitude (°)"",""Height (m)"",""Velocity (m/s)"",""Direction (°)"",""Horizontal Accuracy (m)"",""Vertical Accuracy (m)"""
1.450313304E2,6.507795528E1,2.541782961E1,1.283661075E1,1.360000014E0,2.667000122E2,3.790092468E0,2.500000000E0
1.460292136E2,6.507795462E1,2.541780038E1,1.290826261E1,1.350000024E0,2.667999878E2,3.790092468E0,2.500000000E0
1.470316784E2,6.507795414E1,2.541777068E1,1.259881081E1,1.460000038E0,2.660000000E2,3.790092468E0,2.500000000E0
1.480336647E2,6.507795415E1,2.541774275E1,1.188017935E1,1.240000010E0,2.667000122E2,3.790092468E0,2.500000000E0
1.490313598E2,6.507795276E1,2.541771532E1,1.201048653E1,1.490000010E0,2.551999969E2,3.790092468E0,2.500000000E0
1.500354744E2,6.507795257E1,2.541768425E1,1.164366139E1,1.470000029E0,2.692000122E2,3.790092468E0,2.500000000E0
1.510321158E2,6.507795372E1,2.541765415E1,1.174979724E1,1.350000024E0,2.771000061E2,3.790092468E0,2.500000000E0
1.520311925E2,6.507795586E1,2.541762533E1,1.180997335E1,1.399999976E0,2.795000000E2,3.790092468E0,2.500000000E0
1.530419646E2,6.507795894E1,2.541759152E1,1.185641552E1,1.850000024E0,2.780000000E2,3.790092468E0,2.500000000E0
1.540294106E2,6.507796166E1,2.541755331E1,1.182729577E1,1.820000052E0,2.742000122E2,3.790092468E0,2.500000000E0
1.550294213E2,6.507796337E1,2.541751920E1,1.151222726E1,1.419999957E0,2.725000000E2,3.790092468E0,2.500000000E0
1.560322902E2,6.507796278E1,2.541749238E1,1.158766357E1,1.129999995E0,2.627999878E2,3.790092468E0,2.500000000E0
1.570337647E2,6.507796009E1,2.541746828E1,1.156513969E1,1.149999976E0,2.570000000E2,3.790092468E0,2.500000000E0
1.580321538E2,6.507795616E1,2.541744296E1,1.164448386E1,1.279999971E0,2.503000031E2,3.790092468E0,2.500000000E0
1.590316407E2,6.507795216E1,2.541741681E1,1.191315901E1,1.250000000E0,2.575000000E2,3.790092468E0,2.500000000E0
1.600320776E2,6.507794773E1,2.541739309E1,1.198298211E1,1.220000029E0,2.483000031E2,3.790092468E0,2.500000000E0
1.610310952E2,6.507794121E1,2.541736595E1,1.194904590E1,1.690000057E0,2.430000000E2,3.790092468E0,2.500000000E0
1.620298587E2,6.507793438E1,2.541733667E1,1.258466521E1,1.490000010E0,2.433999939E2,3.790092468E0,2.500000000E0
1.630303435E2,6.507792873E1,2.541730564E1,1.280207092E1,1.750000000E0,2.498999939E2,3.790092468E0,2.500000000E0
1.640314334E2,6.507792259E1,2.541727068E1,1.250061647E1,1.929999948E0,2.475000000E2,3.790092468E0,2.500000000E0
1.650319760E2,6.507791728E1,2.541724202E1,1.277002428E1,1.240000010E0,2.453000031E2,3.790092468E0,2.500000000E0
1.660336671E2,6.507791147E1,2.541722197E1,1.244806376E1,1.240000010E0,2.465000000E2,3.790092468E0,2.500000000E0
1.670333480E2,6.507790551E1,2.541719994E1,1.204071488E1,1.399999976E0,2.413999939E2,3.790092468E0,2.500000000E0
1.680334038E2,6.507790043E1,2.541717579E1,1.202466173E1,1.379999995E0,2.418000031E2,3.790092468E0,2.500000000E0
1.690322409E2,6.507789790E1,2.541715153E1,1.244775545E1,1.230000019E0,2.668999939E2,3.790092468E0,2.500000000E0
1.700318387E2,6.507789708E1,2.541712587E1,1.252087267E1,1.269999981E0,2.712999878E2,3.790092468E0,2.500000000E0
1.710369481E2,6.507789720E1,2.541710204E1,1.225023972E1,1.070000052E0,2.647000122E2,3.790092468E0,2.500000000E0
1.720349637E2,6.507789684E1,2.541707744E1,1.218425776E1,1.399999976E0,2.657000122E2,3.790092468E0,2.500000000E0
1.730346728E2,6.507789537E1,2.541705108E1,1.202342742E1,1.289999962E0,2.588999939E2,3.790092468E0,2.500000000E0
1.740298101E2,6.507789214E1,2.541702511E1,1.224223655E1,1.419999957E0,2.525000000E2,3.790092468E0,2.500000000E0
1.750297601E2,6.507788934E1,2.541700228E1,1.248240819E1,1.019999981E0,2.541000061E2,3.790092468E0,2.500000000E0
1.760325794E2,6.507788794E1,2.541697701E1,1.218876545E1,1.309999943E0,2.551999969E2,3.790092468E0,2.500000000E0
1.770293620E2,6.507788755E1,2.541695049E1,1.304386481E1,1.000000000E0,2.652000122E2,3.790092468E0,2.500000000E0
1.780309342E2,6.507788762E1,2.541692393E1,1.296707920E1,1.230000019E0,2.702000122E2,3.790092468E0,2.500000000E0
1.790303486E2,6.507788770E1,2.541689759E1,1.330252505E1,9.100000262E-1,2.702000122E2,3.790092468E0,2.500000000E0
1.800418103E2,6.507788699E1,2.541686725E1,1.362954789E1,1.590000033E0,2.647999878E2,3.790092468E0,2.500000000E0
1.810270106E2,6.507788501E1,2.541683330E1,1.357345313E1,1.250000000E0,2.612999878E2,3.790092468E0,2.500000000E0
1.820344424E2,6.507788368E1,2.541680223E1,1.357729498E1,1.389999986E0,2.623999939E2,3.790092468E0,2.500000000E0
1.830304927E2,6.507788314E1,2.541677151E1,1.373036750E1,1.250000000E0,2.667999878E2,3.790092468E0,2.500000000E0
1.840282011E2,6.507788302E1,2.541674199E1,1.333973882E1,1.279999971E0,2.627999878E2,3.790092468E0,2.500000000E0
1.850303138E2,6.507788584E1,2.541671083E1,1.344617900E1,1.529999971E0,2.952000122E2,3.790092468E0,2.500000000E0
1.860288657E2,6.507788921E1,2.541668033E1,1.341327577E1,1.190000057E0,2.816000061E2,3.790092468E0,2.500000000E0
1.870295619E2,6.507789206E1,2.541665042E1,1.324975759E1,1.450000048E0,2.837999878E2,3.790092468E0,2.500000000E0
1.880297656E2,6.507789333E1,2.541662027E1,1.329565168E1,1.269999981E0,2.708999939E2,3.790092468E0,2.500000000E0
1.890293357E2,6.507789245E1,2.541658967E1,1.301720580E1,1.529999971E0,2.672000122E2,3.790092468E0,2.500000000E0
1.900311025E2,6.507789120E1,2.541655776E1,1.307536881E1,1.409999967E0,2.657000122E2,3.790092468E0,2.500000000E0
1.910316728E2,6.507789054E1,2.541652893E1,1.322459640E1,1.230000019E0,2.657000122E2,3.790092468E0,2.500000000E0
1.920304384E2,6.507789098E1,2.541649854E1,1.328544442E1,1.399999976E0,2.740000000E2,3.790092468E0,2.500000000E0
1.930285474E2,6.507789278E1,2.541646726E1,1.326328394E1,1.370000005E0,2.782999878E2,3.790092468E0,2.500000000E0
1.940320625E2,6.507789465E1,2.541643542E1,1.308987825E1,1.379999995E0,2.730000000E2,3.790092468E0,2.500000000E0
1.950290045E2,6.507789644E1,2.541640489E1,1.320736630E1,1.389999986E0,2.757000122E2,3.790092468E0,2.500000000E0
1.960336191E2,6.507789699E1,2.541637423E1,1.338131239E1,1.340000033E0,2.680000000E2,3.790092468E0,2.500000000E0
1.970316508E2,6.507789797E1,2.541634361E1,1.347664502E1,1.399999976E0,2.742000122E2,3.790092468E0,2.500000000E0
1.980295110E2,6.507789808E1,2.541631220E1,1.317390663E1,1.429999948E0,2.675000000E2,3.790092468E0,2.500000000E0
1.990289638E2,6.507789756E1,2.541628106E1,1.307533114E1,1.409999967E0,2.673999939E2,3.790092468E0,2.500000000E0
2.000338842E2,6.507789588E1,2.541624904E1,1.309485905E1,1.480000019E0,2.622000122E2,3.790092468E0,2.500000000E0
2.010387633E2,6.507789353E1,2.541622100E1,1.296540094E1,1.230000019E0,2.617000122E2,3.790092468E0,2.500000000E0
2.020275563E2,6.507789270E1,2.541620116E1,1.256036949E1,8.700000048E-1,2.643999939E2,3.790092468E0,2.500000000E0
2.030261266E2,6.507788850E1,2.541617956E1,1.186499502E1,1.529999971E0,2.388999939E2,3.790092468E0,2.500000000E0
2.040281988E2,6.507788579E1,2.541616840E1,1.202704310E1,2.500000000E-1,2.393000031E2,3.790092468E0,2.500000000E0
2.050411610E2,6.507788681E1,2.541617643E1,1.219153343E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.060316298E2,6.507788790E1,2.541618215E1,1.219995654E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.070301063E2,6.507788859E1,2.541618456E1,1.224359668E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.080298284E2,6.507788924E1,2.541618531E1,1.216583771E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.090316384E2,6.507788921E1,2.541618909E1,1.176733967E1,2.800000012E-1,2.395000000E2,3.790092468E0,2.500000000E0
2.100347196E2,6.507788731E1,2.541619427E1,1.187256574E1,3.700000048E-1,2.395000000E2,3.790092468E0,2.500000000E0
2.110279913E2,6.507788650E1,2.541620120E1,1.150421979E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.120293387E2,6.507788449E1,2.541620363E1,1.150287818E1,2.500000000E-1,2.395000000E2,3.790092468E0,2.500000000E0
2.130279287E2,6.507788271E1,2.541620697E1,1.144385836E1,2.500000000E-1,2.395000000E2,3.790092468E0,2.500000000E0
2.140306484E2,6.507788108E1,2.541620853E1,1.131476990E1,2.099999934E-1,2.395000000E2,3.790092468E0,2.500000000E0
